model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,angry_tweets,dansk,scala_da,scandiqa_da,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-pro-002'>gemini/gemini-1.5-pro-002 (zero-shot, val)</a>",📝,1.69@@1.69,,256128.0,2097152.0,✓,✗,59.25 ± 2.68 / 71.84 ± 1.97@@59.24641126741059,58.18 ± 1.63 / 43.10 ± 2.16@@58.18097573381955,52.42 ± 2.70 / 75.36 ± 1.37@@52.4238068911291,60.49 ± 1.15 / 47.72 ± 1.14@@60.490964061806054,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://ollama.com/library/gemma3:27b-it-q4_K_M'>ollama_chat/gemma3:27b-it-q4_K_M (few-shot, val)</a>",📝,1.69@@1.69,27400000000.0,262144.0,128000.0,✓,✗,56.02 ± 2.06 / 70.33 ± 1.66@@56.02246185083652,62.83 ± 1.93 / 55.69 ± 3.19@@62.83287739046914,54.27 ± 2.85 / 76.19 ± 1.68@@54.27073950814633,61.33 ± 0.71 / 52.46 ± 1.24@@61.32973788189322,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,1.71@@1.71,,,1047576.0,✓,✗,54.29 ± 1.23 / 68.62 ± 0.87@@54.28635898150824,54.71 ± 1.91 / 37.16 ± 1.68@@54.71336027021343,62.69 ± 2.75 / 79.90 ± 1.49@@62.685906768707376,61.61 ± 1.16 / 47.59 ± 1.28@@61.60819552544638,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://ollama.com/library/gemma3:12b-it-q4_K_M'>ollama_chat/gemma3:12b-it-q4_K_M (few-shot, val)</a>",📝,1.72@@1.72,12200000000.0,262144.0,128000.0,✓,✗,56.18 ± 2.79 / 70.45 ± 2.07@@56.17660627162139,62.09 ± 1.87 / 42.38 ± 2.81@@62.08827489218319,46.82 ± 4.23 / 72.05 ± 2.07@@46.823980863220946,61.93 ± 1.05 / 54.73 ± 1.24@@61.92747325490069,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.3.0.dev0@@150300
<a href='https://huggingface.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B (few-shot)</a>,🤔,1.72@@1.72,30532122624.0,151936.0,40960.0,✓,✗,53.49 ± 1.62 / 69.46 ± 1.05@@53.4876258482031,66.86 ± 1.56 / 44.24 ± 2.15@@66.86402860415117,49.39 ± 2.27 / 72.53 ± 1.40@@49.39081487841189,58.24 ± 12.38 / 50.44 ± 11.01@@58.24344848567163,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801
<a href='https://huggingface.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt (few-shot)</a>,🧠,1.74@@1.74,12187325040.0,262144.0,,✓,✗,52.61 ± 1.41 / 67.83 ± 1.30@@52.60938588795027,52.50 ± 1.99 / 39.05 ± 2.94@@52.50132730512205,56.32 ± 2.63 / 76.82 ± 1.86@@56.31952573581047,69.00 ± 0.43 / 63.80 ± 0.61@@69.00130314613665,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://platform.openai.com/docs/models/gpt-4o-mini'>gpt-4o-mini-2024-07-18 (zero-shot, val)</a>",📝,1.75@@1.75,,200019.0,8191.0,✓,✗,49.73 ± 3.09 / 65.95 ± 2.22@@49.72870301037789,57.52 ± 2.21 / 35.79 ± 1.78@@57.517275633701395,57.56 ± 2.67 / 77.16 ± 1.35@@57.56293199691711,64.34 ± 1.32 / 51.79 ± 1.50@@64.33608059571296,14.0.1@@140001,14.0.1@@140001,14.0.1@@140001,14.0.1@@140001
<a href='https://huggingface.co/nvidia/Llama-3.1-Nemotron-70B-Instruct-HF'>nvidia/Llama-3.1-Nemotron-70B-Instruct-HF (few-shot)</a>,📝,1.75@@1.75,70553706496.0,128256.0,131072.0,✓,✗,59.14 ± 1.19 / 72.45 ± 0.97@@59.140584075901614,58.34 ± 1.24 / 33.52 ± 1.47@@58.3414696629158,56.46 ± 1.02 / 77.90 ± 0.61@@56.45617292478615,54.05 ± 0.72 / 39.77 ± 1.12@@54.05100658633613,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
"<a href='https://ollama.com/library/phi4:14b-q4_K_M'>ollama_chat/phi4:14b-q4_K_M (few-shot, val)</a>",📝,1.76@@1.76,14700000000.0,100352.0,16384.0,✓,✗,53.25 ± 2.78 / 68.18 ± 2.04@@53.24647422073847,59.76 ± 1.23 / 50.19 ± 1.99@@59.75723450170651,49.64 ± 5.18 / 73.84 ± 3.01@@49.643428400044556,61.98 ± 1.28 / 48.07 ± 1.57@@61.98092768968206,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite-001'>gemini/gemini-2.0-flash-lite-001 (zero-shot, val)</a>",📝,1.76@@1.76,,256128.0,1048576.0,✓,✗,55.10 ± 1.68 / 69.23 ± 1.19@@55.096799416451105,55.25 ± 1.79 / 37.91 ± 1.81@@55.24573008188203,57.41 ± 3.30 / 78.27 ± 1.67@@57.41206269508963,57.55 ± 1.01 / 41.13 ± 1.14@@57.552079863379575,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-002'>gemini/gemini-1.5-flash-002 (zero-shot, val)</a>",📝,1.79@@1.79,,256128.0,1048576.0,✓,✗,57.25 ± 2.32 / 68.50 ± 1.51@@57.25440971732615,54.82 ± 1.78 / 36.71 ± 1.73@@54.819153362725935,55.25 ± 2.29 / 77.25 ± 1.16@@55.24889090601492,57.68 ± 0.95 / 43.90 ± 1.00@@57.6766794503701,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
"<a href='https://ollama.com/library/gemma3:12b-it-fp16'>ollama_chat/gemma3:12b-it-fp16 (few-shot, val)</a>",📝,1.80@@1.80,12187325040.0,262144.0,128000.0,✓,✗,53.65 ± 2.89 / 68.82 ± 2.06@@53.64825688975402,62.70 ± 2.00 / 42.41 ± 2.82@@62.704123556765865,44.48 ± 4.01 / 70.52 ± 2.03@@44.48292149342438,62.76 ± 1.24 / 55.10 ± 1.35@@62.756105076875755,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/KennethEnevoldsen/dfm-sentence-encoder-medium'>KennethEnevoldsen/dfm-sentence-encoder-medium</a>,🔍,1.81@@1.81,123857666.0,50005.0,514.0,✓,✗,49.96 ± 1.54 / 66.09 ± 1.38@@49.95696680127278,68.76 ± 1.42 / 64.03 ± 1.57@@68.7610703405473,68.90 ± 2.48 / 83.41 ± 1.71@@68.90133229394839,39.91 ± 1.43 / 34.54 ± 1.58@@39.9063619428689,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301
<a href='https://huggingface.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B (few-shot)</a>,🤔,1.82@@1.82,32762123264.0,151936.0,40960.0,✓,✗,55.51 ± 1.08 / 69.96 ± 0.66@@55.51193066921974,65.69 ± 2.11 / 51.53 ± 2.38@@65.69170314111507,55.14 ± 1.27 / 76.92 ± 0.83@@55.140091182427916,45.45 ± 18.48 / 39.22 ± 16.79@@45.451524028403206,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B (few-shot)</a>,🤔,1.82@@1.82,14768307200.0,151936.0,40960.0,✓,✗,55.52 ± 1.48 / 70.66 ± 0.99@@55.51553613158172,52.36 ± 1.61 / 39.61 ± 1.72@@52.35937617295804,50.88 ± 1.52 / 72.65 ± 1.08@@50.88301896701027,64.23 ± 0.53 / 55.97 ± 0.68@@64.23377289619734,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/ltg/norbert3-large'>ltg/norbert3-large</a>,🔍,1.83@@1.83,354406402.0,50000.0,512.0,✓,✗,44.01 ± 4.19 / 61.14 ± 4.46@@44.00827832027986,64.51 ± 1.98 / 60.56 ± 1.95@@64.50556849995425,65.00 ± 2.37 / 81.44 ± 1.54@@64.99815951010916,53.18 ± 0.87 / 47.72 ± 1.04@@53.17991011714878,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/NbAiLab/nb-sbert-base'>NbAiLab/nb-sbert-base</a>,🔍,1.84@@1.84,177264386.0,119547.0,512.0,✓,✗,47.83 ± 1.05 / 65.23 ± 0.75@@47.827625443821475,70.12 ± 1.61 / 65.80 ± 1.43@@70.1199872236203,63.25 ± 2.38 / 80.82 ± 1.42@@63.2518174045272,41.01 ± 2.35 / 36.51 ± 2.05@@41.00699963645788,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (few-shot, val)</a>",📝,1.85@@1.85,,,1047576.0,✓,✗,55.73 ± 3.46 / 70.37 ± 2.41@@55.73207811606784,53.50 ± 2.31 / 39.50 ± 2.11@@53.50196341578706,51.81 ± 4.67 / 72.31 ± 2.70@@51.8095608400415,59.36 ± 0.82 / 49.45 ± 1.19@@59.36336359908796,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-001'>gemini/gemini-2.0-flash-001 (zero-shot, val)</a>",📝,1.86@@1.86,,256128.0,1048576.0,✓,✗,51.27 ± 2.74 / 65.24 ± 1.89@@51.27162885345148,58.66 ± 1.99 / 46.81 ± 2.14@@58.66050704088035,52.48 ± 3.07 / 74.78 ± 1.51@@52.479432815834755,57.41 ± 0.76 / 46.23 ± 0.93@@57.40873601371637,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/Qwen/QwQ-32B'>Qwen/QwQ-32B (few-shot)</a>,🤔,1.87@@1.87,32763876352.0,152064.0,40960.0,✓,✗,56.56 ± 0.71 / 69.55 ± 0.62@@56.563632326803024,66.46 ± 1.81 / 53.39 ± 1.58@@66.45770388275234,39.93 ± 2.19 / 62.72 ± 1.82@@39.92833588333117,53.23 ± 16.89 / 47.08 ± 15.39@@53.22862778147309,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/intfloat/multilingual-e5-large'>intfloat/multilingual-e5-large</a>,🔍,1.88@@1.88,559890946.0,250002.0,512.0,✓,✗,52.91 ± 1.69 / 68.05 ± 1.36@@52.906687440039704,62.23 ± 2.29 / 59.24 ± 2.21@@62.23039328320195,49.76 ± 9.48 / 72.95 ± 6.77@@49.76338042269452,52.58 ± 1.11 / 45.59 ± 1.26@@52.575816802685765,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://huggingface.co/CohereForAI/c4ai-command-r-08-2024'>CohereForAI/c4ai-command-r-08-2024 (few-shot)</a>,📝,1.88@@1.88,32296476672.0,256000.0,131072.0,✗,✗,50.82 ± 1.22 / 64.57 ± 1.50@@50.81914920460853,63.63 ± 2.58 / 40.18 ± 3.60@@63.63405833125281,35.58 ± 1.76 / 66.59 ± 1.22@@35.58001695411132,64.51 ± 0.50 / 54.33 ± 0.77@@64.51351697739133,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/NorwAI/NorwAI-Mixtral-8x7B'>NorwAI/NorwAI-Mixtral-8x7B (few-shot)</a>,🧠,1.89@@1.89,46997647360.0,67993.0,32768.0,✓,✗,52.11 ± 1.49 / 67.70 ± 1.08@@52.10917965408663,51.95 ± 1.51 / 31.96 ± 1.74@@51.9523276732585,44.47 ± 2.01 / 69.57 ± 2.71@@44.47090218065869,67.92 ± 0.44 / 62.62 ± 0.70@@67.92355752800721,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.3.0@@140300
<a href='https://huggingface.co/meta-llama/Llama-2-70b-hf'>meta-llama/Llama-2-70b-hf (few-shot)</a>,🧠,1.89@@1.89,68976653312.0,32000.0,4096.0,✓,✗,50.48 ± 2.00 / 65.96 ± 1.57@@50.483906260418365,53.36 ± 2.67 / 42.13 ± 3.22@@53.35869197464531,43.18 ± 4.00 / 65.89 ± 4.30@@43.17875883977688,68.22 ± 0.51 / 62.78 ± 0.62@@68.21827369271405,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/mistralai/Mistral-Small-24B-Instruct-2501'>mistralai/Mistral-Small-24B-Instruct-2501 (few-shot)</a>,📝,1.91@@1.91,23572403200.0,131072.0,32768.0,✓,✗,57.32 ± 1.39 / 71.69 ± 1.03@@57.31703703161792,59.63 ± 2.08 / 41.33 ± 2.94@@59.62968762451801,34.60 ± 2.87 / 57.24 ± 2.59@@34.59944455710085,60.78 ± 1.33 / 53.50 ± 1.48@@60.78137698037784,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
"<a href='https://platform.openai.com/docs/models/gpt-4-turbo'>gpt-4-1106-preview (zero-shot, val)</a>",📝,1.91@@1.91,,100256.0,8191.0,✓,✗,53.69 ± 2.27 / 67.91 ± 1.55@@53.6896747669241,35.79 ± 2.45 / 25.86 ± 1.74@@35.79008036321287,62.98 ± 2.61 / 81.27 ± 1.31@@62.983041119732086,64.87 ± 0.92 / 51.96 ± 1.07@@64.87320194754463,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
<a href='https://huggingface.co/NbAiLab/nb-roberta-base-ncc-plus-scandi-2e4'>NbAiLab/nb-roberta-base-ncc-plus-scandi-2e4</a>,🔍,1.91@@1.91,277455362.0,250002.0,514.0,✓,✗,49.45 ± 3.37 / 65.90 ± 3.07@@49.45123800502601,68.87 ± 2.42 / 64.32 ± 1.86@@68.87118051026867,60.69 ± 3.30 / 78.04 ± 2.17@@60.694824547714,36.79 ± 0.97 / 31.99 ± 0.99@@36.7877049943376,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B (few-shot)</a>,📝,1.93@@1.93,8030261248.0,128256.0,131072.0,✓,✗,56.69 ± 1.47 / 71.34 ± 1.15@@56.69483943200806,53.94 ± 2.33 / 31.30 ± 1.80@@53.94047712240651,36.99 ± 2.21 / 60.13 ± 2.02@@36.98841952312987,63.60 ± 0.42 / 56.23 ± 0.87@@63.600397047820216,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/intfloat/multilingual-e5-large-instruct'>intfloat/multilingual-e5-large-instruct</a>,🔍,1.94@@1.94,559890432.0,250002.0,514.0,✓,✗,55.45 ± 1.57 / 69.74 ± 1.66@@55.452742925912816,69.86 ± 1.64 / 65.30 ± 1.46@@69.86090330974784,31.14 ± 18.61 / 63.23 ± 10.14@@31.13869548162559,52.75 ± 1.79 / 45.51 ± 2.60@@52.74825099317614,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/vesteinn/ScandiBERT-no-faroese'>vesteinn/ScandiBERT-no-faroese</a>,🔍,1.96@@1.96,124498007.0,50005.0,514.0,✓,✗,46.18 ± 3.69 / 62.95 ± 3.85@@46.175714961239755,65.50 ± 2.37 / 61.92 ± 2.32@@65.49972277531347,60.16 ± 7.70 / 78.59 ± 4.67@@60.16063395626865,38.94 ± 2.07 / 34.08 ± 2.10@@38.941073607334346,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (zero-shot)</a>,📝,1.96@@1.96,27432406640.0,262144.0,,✓,✗,52.32 ± 0.93 / 65.90 ± 0.63@@52.31815398805578,50.45 ± 1.28 / 31.26 ± 0.92@@50.454073957061574,47.91 ± 1.14 / 71.07 ± 0.61@@47.91008253076877,62.35 ± 0.54 / 48.40 ± 0.44@@62.349524700562846,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://huggingface.co/google/gemma-2-27b'>google/gemma-2-27b (few-shot)</a>,🧠,1.97@@1.97,27227128320.0,256000.0,8192.0,✓,✗,49.00 ± 2.31 / 63.80 ± 2.17@@49.00044144810841,42.67 ± 1.93 / 34.99 ± 2.37@@42.668328451204744,52.01 ± 2.07 / 74.35 ± 2.03@@52.01441348794324,68.98 ± 0.53 / 63.58 ± 0.83@@68.98342125145936,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/NbAiLab/nb-roberta-base-scandi-1e4'>NbAiLab/nb-roberta-base-scandi-1e4</a>,🔍,1.97@@1.97,278295700.0,250002.0,514.0,✓,✗,49.72 ± 1.98 / 65.71 ± 1.50@@49.718400813581454,66.92 ± 2.08 / 62.79 ± 1.85@@66.9248582935192,62.32 ± 6.02 / 79.44 ± 4.10@@62.32019707753824,35.91 ± 0.96 / 31.45 ± 1.02@@35.90639594991714,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (few-shot)</a>,📝,1.97@@1.97,11168796672.0,32128.0,32768.0,✓,✓,52.19 ± 1.42 / 68.50 ± 1.07@@52.1926401855002,57.22 ± 2.22 / 41.26 ± 4.61@@57.215650782577,33.47 ± 3.52 / 62.51 ± 3.37@@33.47461019192859,64.97 ± 0.49 / 54.49 ± 0.88@@64.96833225988817,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/google/gemma-2-9b-it'>google/gemma-2-9b-it (few-shot)</a>,📝,1.98@@1.98,9241705984.0,256000.0,8192.0,✓,✗,53.18 ± 1.09 / 66.61 ± 0.67@@53.183333159017366,41.64 ± 2.03 / 27.31 ± 1.58@@41.64312835736357,53.22 ± 1.48 / 75.24 ± 1.23@@53.21919116996775,64.02 ± 0.72 / 53.39 ± 1.18@@64.02345745648105,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/mistralai/Mixtral-8x7B-v0.1'>mistralai/Mixtral-8x7B-v0.1 (few-shot)</a>,🧠,1.98@@1.98,46702792704.0,32000.0,32768.0,✓,✗,50.07 ± 1.62 / 63.30 ± 1.97@@50.074440913091,52.62 ± 1.84 / 38.57 ± 2.99@@52.61955148247445,37.37 ± 2.49 / 67.81 ± 1.44@@37.37403073300843,68.38 ± 0.47 / 63.26 ± 0.61@@68.376358388321,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.3.0@@140300
<a href='https://huggingface.co/CohereForAI/aya-expanse-32b'>CohereForAI/aya-expanse-32b (few-shot)</a>,📝,2.01@@2.01,32296476672.0,256000.0,8192.0,✗,✗,54.08 ± 1.35 / 69.47 ± 1.10@@54.082318575651,56.38 ± 2.29 / 37.10 ± 3.91@@56.37842632372283,29.34 ± 1.94 / 63.13 ± 1.68@@29.34290710424341,64.85 ± 0.61 / 53.60 ± 1.22@@64.84847819205558,15.4.1@@150401,15.4.1@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401
<a href='https://huggingface.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,2.01@@2.01,561192082.0,250002.0,512.0,✓,✗,43.16 ± 10.03 / 58.78 ± 9.61@@43.16297225284923,68.79 ± 2.17 / 64.29 ± 1.45@@68.7912165583683,45.84 ± 18.39 / 68.38 ± 12.84@@45.83664585794135,48.46 ± 1.01 / 42.69 ± 1.06@@48.46473160296092,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://huggingface.co/01-ai/Yi-1.5-34B'>01-ai/Yi-1.5-34B (few-shot)</a>,🧠,2.02@@2.02,34388917248.0,64000.0,4096.0,✓,✗,46.60 ± 2.70 / 63.44 ± 2.17@@46.601704067325315,51.71 ± 2.34 / 39.64 ± 2.53@@51.71167693483872,42.42 ± 1.28 / 69.56 ± 1.27@@42.418413676510355,65.82 ± 0.55 / 60.06 ± 0.83@@65.82430628837622,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://huggingface.co/NbAiLab/nb-roberta-base-ncc-plus-scandi-1e4'>NbAiLab/nb-roberta-base-ncc-plus-scandi-1e4</a>,🔍,2.03@@2.03,277455362.0,250002.0,514.0,✓,✗,49.69 ± 2.99 / 65.73 ± 2.79@@49.693466630689706,68.08 ± 1.99 / 63.80 ± 1.53@@68.082623008472,53.90 ± 12.96 / 74.77 ± 7.17@@53.89591465660626,36.57 ± 1.30 / 31.76 ± 1.35@@36.567056401486475,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT (few-shot)</a>,📝,2.03@@2.03,8030326784.0,128264.0,131072.0,✓,✗,52.68 ± 1.48 / 67.94 ± 1.08@@52.68300684446159,56.40 ± 1.67 / 42.29 ± 2.93@@56.404593163879355,29.13 ± 2.00 / 51.85 ± 1.93@@29.129071838605004,65.22 ± 0.59 / 57.16 ± 1.12@@65.2159865628447,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/DGurgurov/xlm-r_dan-latn'>DGurgurov/xlm-r_dan-latn</a>,🔍,2.03@@2.03,278295186.0,250002.0,512.0,✓,✗,46.90 ± 2.49 / 64.11 ± 1.93@@46.90423753753107,67.65 ± 1.78 / 64.31 ± 1.60@@67.6520074205659,55.82 ± 9.17 / 74.30 ± 7.66@@55.82072105916076,37.98 ± 1.26 / 33.25 ± 1.39@@37.98117251208653,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/vesteinn/FoBERT'>vesteinn/FoBERT</a>,🔍,2.04@@2.04,124498007.0,50005.0,514.0,✓,✗,47.36 ± 1.96 / 64.35 ± 1.54@@47.357512571754555,65.10 ± 2.38 / 61.48 ± 1.70@@65.10485397660194,58.84 ± 3.15 / 77.89 ± 1.67@@58.84459559278958,36.77 ± 0.66 / 31.67 ± 0.59@@36.77238035218836,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/NbAiLab/notram-bert-norwegian-cased-080321'>NbAiLab/notram-bert-norwegian-cased-080321</a>,🔍,2.04@@2.04,178567165.0,119547.0,512.0,✓,✗,41.65 ± 1.91 / 60.44 ± 1.56@@41.65338933029526,64.24 ± 2.50 / 60.75 ± 2.38@@64.24401155125771,58.35 ± 1.85 / 77.77 ± 1.05@@58.35276011352079,43.83 ± 1.62 / 38.36 ± 1.42@@43.830346667510085,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E-Instruct'>meta-llama/Llama-4-Scout-17B-16E-Instruct (few-shot)</a>,📝,2.05@@2.05,108641793536.0,200000.0,,✓,✗,57.92 ± 0.80 / 71.12 ± 0.83@@57.92311863764835,59.22 ± 1.52 / 44.84 ± 2.48@@59.221740243784126,56.42 ± 1.31 / 77.83 ± 0.90@@56.416442340535276,31.03 ± 0.54 / 0.00 ± 0.00@@31.02807834849616,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/NbAiLab/nb-roberta-base-scandi'>NbAiLab/nb-roberta-base-scandi</a>,🔍,2.05@@2.05,278295700.0,250002.0,514.0,✓,✗,50.73 ± 2.04 / 66.57 ± 1.48@@50.73321190946384,68.84 ± 2.17 / 64.46 ± 1.88@@68.83781628423417,47.17 ± 15.95 / 71.38 ± 8.03@@47.17346393172706,37.61 ± 0.94 / 32.78 ± 1.10@@37.61268367098147,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct (few-shot)</a>,📝,2.06@@2.06,8030261248.0,128256.0,131072.0,✓,✗,55.18 ± 1.45 / 68.18 ± 1.41@@55.178855302869515,54.28 ± 1.66 / 37.76 ± 2.39@@54.28205785334084,31.69 ± 1.94 / 63.63 ± 1.22@@31.68918414672467,59.47 ± 0.66 / 48.80 ± 1.21@@59.469187695023905,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/152334H/miqu-1-70b-sf'>152334H/miqu-1-70b-sf (few-shot)</a>,📝,2.06@@2.06,68976648192.0,32000.0,32764.0,✓,✗,50.21 ± 1.50 / 67.43 ± 1.01@@50.21420877414167,50.52 ± 2.29 / 29.39 ± 1.90@@50.517412455534604,47.35 ± 1.14 / 73.29 ± 0.76@@47.348671323435674,56.33 ± 1.34 / 43.58 ± 1.97@@56.333370752453256,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-8b-001'>gemini/gemini-1.5-flash-8b-001 (zero-shot, val)</a>",📝,2.08@@2.08,8000000000.0,256128.0,1048576.0,✓,✗,49.93 ± 1.77 / 60.74 ± 1.04@@49.9323712007291,50.63 ± 1.54 / 34.50 ± 1.78@@50.63015219368201,41.14 ± 3.86 / 67.45 ± 2.20@@41.140535999653444,57.19 ± 0.85 / 45.19 ± 1.15@@57.18561137955875,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/NousResearch/DeepHermes-3-Llama-3-8B-Preview'>NousResearch/DeepHermes-3-Llama-3-8B-Preview (few-shot)</a>,📝,2.08@@2.08,8030261248.0,128256.0,131072.0,✓,✗,54.43 ± 1.34 / 69.55 ± 0.97@@54.431207549069086,54.90 ± 2.62 / 39.54 ± 3.23@@54.8969955612223,26.49 ± 2.55 / 51.02 ± 2.84@@26.492146136011936,64.48 ± 0.86 / 55.53 ± 1.37@@64.47885402135658,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/intfloat/multilingual-e5-base'>intfloat/multilingual-e5-base</a>,🔍,2.08@@2.08,277455362.0,250002.0,512.0,✓,✗,49.84 ± 1.25 / 66.56 ± 1.08@@49.84072572361122,64.30 ± 2.39 / 60.13 ± 1.64@@64.29889980203033,44.20 ± 2.01 / 70.33 ± 1.04@@44.19521819661629,45.91 ± 1.20 / 39.90 ± 1.37@@45.90746294247663,14.4.0@@140400,14.4.0@@140400,<9.2.0@@0,<9.2.0@@0
