model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,swerec,suc3,scala_sv,scandiqa_sv,swedn,mmlu_sv,hellaswag_sv,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,swedn_version,mmlu_sv_version,hellaswag_sv_version
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,1.66@@1.66,,,1047576.0,✓,✗,75.92 ± 2.75 / 73.56 ± 2.78@@75.920987373866,59.61 ± 1.76 / 35.32 ± 1.11@@59.60971558892307,64.94 ± 3.14 / 81.57 ± 1.84@@64.9414902233854,62.00 ± 1.41 / 50.50 ± 1.62@@61.995107663990915,65.67 ± 0.14 / 14.99 ± 0.18@@65.67097925581038,60.02 ± 2.84 / 69.88 ± 2.17@@60.01893248745894,59.59 ± 1.33 / 69.18 ± 1.03@@59.590020760356964,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://platform.openai.com/docs/models/o4-mini'>o4-mini-2025-04-16 (zero-shot, val)</a>",🤔,1.67@@1.67,,,200000.0,✓,✗,74.35 ± 3.37 / 72.12 ± 3.03@@74.3548247185908,53.83 ± 2.06 / 43.49 ± 2.33@@53.83390590053083,60.35 ± 2.04 / 78.46 ± 1.33@@60.35001465800581,61.38 ± 0.81 / 52.46 ± 1.04@@61.381529816337874,64.76 ± 0.12 / 13.11 ± 0.19@@64.76157546974719,79.52 ± 1.80 / 84.69 ± 1.33@@79.5231201627783,59.33 ± 2.16 / 69.49 ± 1.68@@59.3332372535177,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-001'>gemini/gemini-2.0-flash-001 (zero-shot, val)</a>",📝,1.67@@1.67,,256128.0,1048576.0,✓,✗,76.58 ± 2.76 / 72.99 ± 2.14@@76.5816939173667,64.06 ± 2.38 / 52.63 ± 1.75@@64.05844327978024,41.68 ± 2.54 / 65.17 ± 1.63@@41.68252004428413,56.87 ± 1.56 / 44.33 ± 1.79@@56.86692322790323,65.48 ± 0.15 / 15.22 ± 0.20@@65.4801720008254,75.47 ± 1.86 / 81.60 ± 1.38@@75.46677472215461,69.72 ± 1.91 / 76.88 ± 1.55@@69.7175209844625,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/google/gemma-2-27b-it'>google/gemma-2-27b-it (few-shot)</a>,📝,1.69@@1.69,27227128320.0,256000.0,8192.0,✓,✗,78.22 ± 1.18 / 78.53 ± 0.93@@78.22385707118768,53.37 ± 1.18 / 31.71 ± 2.52@@53.36855855148763,60.06 ± 1.31 / 79.47 ± 0.81@@60.06119396506938,64.95 ± 0.59 / 55.60 ± 0.93@@64.94937383527042,65.59 ± 0.07 / 16.77 ± 0.14@@65.59347274160245,56.38 ± 1.06 / 67.03 ± 0.78@@56.381749725518574,66.64 ± 0.83 / 74.67 ± 0.66@@66.63890020924632,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/ThatsGroes/gemma-2-27b-it-FP8-Dynamic'>ThatsGroes/gemma-2-27b-it-FP8-Dynamic (few-shot)</a>,📝,1.69@@1.69,28410968576.0,256000.0,8192.0,✓,✗,79.21 ± 0.60 / 79.06 ± 0.60@@79.20988222125486,51.93 ± 1.67 / 31.24 ± 2.24@@51.92966427762589,59.79 ± 1.07 / 79.71 ± 0.60@@59.791711260228844,64.65 ± 0.67 / 55.10 ± 0.95@@64.64649319975186,65.38 ± 0.08 / 16.42 ± 0.15@@65.37613917840645,56.66 ± 0.98 / 67.32 ± 0.74@@56.664523835142255,66.28 ± 1.46 / 74.22 ± 1.25@@66.28048629664728,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/mistralai/Mistral-Small-24B-Instruct-2501'>mistralai/Mistral-Small-24B-Instruct-2501 (few-shot)</a>,📝,1.74@@1.74,23572403200.0,131072.0,32768.0,✓,✗,77.73 ± 1.12 / 76.51 ± 0.92@@77.7306080799516,59.38 ± 2.47 / 34.47 ± 3.37@@59.38183249058331,35.30 ± 2.05 / 57.38 ± 2.34@@35.29742321062786,62.54 ± 0.51 / 53.86 ± 0.50@@62.535856128478905,65.99 ± 0.09 / 16.57 ± 0.13@@65.98790758260293,58.10 ± 1.28 / 68.29 ± 1.00@@58.10421308029622,78.67 ± 0.81 / 83.93 ± 0.61@@78.66621717395594,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt (few-shot)</a>,🧠,1.74@@1.74,12187325040.0,262144.0,,✓,✗,81.99 ± 0.56 / 80.62 ± 1.30@@81.99497200676889,60.25 ± 1.52 / 44.95 ± 4.08@@60.250191831440425,61.42 ± 2.17 / 80.05 ± 1.47@@61.42470548740002,68.37 ± 0.94 / 62.66 ± 2.02@@68.37233551132013,65.87 ± 0.27 / 19.84 ± 0.56@@65.86869043880142,58.11 ± 1.38 / 68.28 ± 1.06@@58.108171787310326,36.61 ± 4.41 / 49.69 ± 4.04@@36.607111828763124,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-preview-04-17'>gemini/gemini-2.5-flash-preview-04-17 (zero-shot, val)</a>",🤔,1.75@@1.75,,256128.0,1048576.0,✓,✗,73.68 ± 3.21 / 64.82 ± 2.36@@73.67695301650966,33.93 ± 2.27 / 23.63 ± 1.56@@33.930986216562346,71.74 ± 2.71 / 85.43 ± 1.40@@71.73861260297578,54.92 ± 1.13 / 45.87 ± 1.14@@54.91593948033616,64.84 ± 0.14 / 12.41 ± 0.24@@64.83693569898605,81.43 ± 1.58 / 85.78 ± 1.20@@81.42884848499999,62.19 ± 2.28 / 70.70 ± 1.94@@62.19049080672144,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700
"<a href='https://platform.openai.com/docs/models/gpt-3.5-turbo'>gpt-3.5-turbo-0613 (few-shot, val)</a>",📝,1.76@@1.76,,100256.0,4095.0,✓,✗,72.77 ± 2.64 / 72.56 ± 2.45@@72.76622965720918,73.04 ± 2.74 / 61.64 ± 3.63@@73.03726762470237,58.06 ± 3.84 / 76.06 ± 2.51@@58.06237846244562,66.84 ± 1.38 / 58.02 ± 2.11@@66.84458576008727,66.92 ± 0.16 / 19.00 ± 0.28@@66.92019500304013,40.73 ± 3.36 / 55.16 ± 2.75@@40.73420338706142,50.51 ± 2.33 / 62.07 ± 1.95@@50.50699547849247,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,12.9.0@@120900,11.0.0@@110000,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B (few-shot)</a>,🤔,1.77@@1.77,8190735360.0,151936.0,40960.0,✓,✗,75.88 ± 0.86 / 72.95 ± 0.95@@75.87930230759837,66.19 ± 1.43 / 51.12 ± 2.01@@66.1931618701884,52.23 ± 1.26 / 75.70 ± 0.75@@52.23159745450896,50.93 ± 16.02 / 43.74 ± 14.22@@50.934851212415154,65.28 ± 0.07 / 14.56 ± 0.13@@65.27525083074579,71.96 ± 0.69 / 78.93 ± 0.51@@71.95776626425786,45.61 ± 9.97 / 58.87 ± 7.40@@45.61128547911096,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/nvidia/Llama-3.1-Nemotron-70B-Instruct-HF'>nvidia/Llama-3.1-Nemotron-70B-Instruct-HF (few-shot)</a>,📝,1.77@@1.77,70553706496.0,128256.0,131072.0,✓,✗,81.81 ± 0.86 / 82.33 ± 0.74@@81.80845001535033,58.65 ± 2.12 / 28.39 ± 1.64@@58.64544684516866,63.69 ± 1.28 / 81.49 ± 0.64@@63.69372829141343,56.06 ± 0.57 / 42.29 ± 1.15@@56.0598782090741,50.67 ± 0.97 / 7.02 ± 0.72@@50.668321367993485,68.28 ± 0.81 / 76.14 ± 0.61@@68.28322963352758,72.36 ± 1.01 / 79.06 ± 0.80@@72.35517187694536,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
"<a href='https://ollama.com/library/gemma3:12b-it-fp16'>ollama_chat/gemma3:12b-it-fp16 (few-shot, val)</a>",📝,1.78@@1.78,12187325040.0,262144.0,128000.0,✓,✗,76.90 ± 2.90 / 77.48 ± 2.11@@76.901397669867,66.17 ± 2.57 / 46.35 ± 2.32@@66.17249953882232,50.68 ± 3.00 / 74.27 ± 1.98@@50.67709999074294,58.04 ± 1.41 / 49.53 ± 2.03@@58.037201483684996,65.61 ± 0.23 / 16.89 ± 0.26@@65.60671336716041,52.14 ± 2.98 / 63.95 ± 2.24@@52.144140171252154,57.92 ± 3.70 / 68.32 ± 2.83@@57.92456502813146,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/RekaAI/reka-flash-3'>RekaAI/reka-flash-3 (few-shot)</a>,🤔,1.78@@1.78,20905482240.0,100352.0,32768.0,✓,✗,75.30 ± 0.80 / 71.02 ± 1.12@@75.29547504123444,62.71 ± 1.72 / 41.61 ± 3.16@@62.71247816222105,50.33 ± 1.62 / 74.58 ± 0.82@@50.32537554684697,64.23 ± 0.83 / 55.70 ± 0.75@@64.22573787348587,64.34 ± 0.07 / 12.86 ± 0.09@@64.33924075361574,65.70 ± 0.44 / 74.25 ± 0.34@@65.69510653228275,49.31 ± 1.00 / 61.70 ± 0.78@@49.309839200221404,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
"<a href='https://ollama.com/library/phi4:14b-q4_K_M'>ollama_chat/phi4:14b-q4_K_M (few-shot, val)</a>",📝,1.78@@1.78,14700000000.0,100352.0,16384.0,✓,✗,77.37 ± 2.51 / 78.49 ± 2.34@@77.3677855252838,59.71 ± 1.61 / 52.65 ± 1.75@@59.71074645128694,56.63 ± 1.92 / 77.23 ± 1.06@@56.63093955678262,61.53 ± 1.54 / 49.27 ± 1.27@@61.53404773119642,65.29 ± 0.15 / 14.73 ± 0.12@@65.29290584847331,56.11 ± 2.19 / 66.72 ± 1.63@@56.11255951604481,53.70 ± 2.90 / 64.14 ± 2.40@@53.69586402755668,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300
<a href='https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E-Instruct'>meta-llama/Llama-4-Scout-17B-16E-Instruct (few-shot)</a>,📝,1.79@@1.79,108641793536.0,200000.0,,✓,✗,80.07 ± 0.77 / 79.66 ± 0.64@@80.06526999186732,58.85 ± 2.48 / 48.76 ± 3.20@@58.84561196324303,62.75 ± 1.20 / 81.20 ± 0.65@@62.75496524475347,29.60 ± 0.51 / 0.00 ± 0.00@@29.604194848722067,65.85 ± 0.08 / 18.46 ± 0.21@@65.85262581094867,68.38 ± 0.43 / 76.30 ± 0.33@@68.37518329217527,75.05 ± 0.93 / 81.27 ± 0.69@@75.04943479105421,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
"<a href='https://ollama.com/library/gemma3:12b-it-q4_K_M'>ollama_chat/gemma3:12b-it-q4_K_M (few-shot, val)</a>",📝,1.80@@1.80,12200000000.0,262144.0,128000.0,✓,✗,76.63 ± 3.43 / 76.99 ± 2.49@@76.62868280195295,65.29 ± 2.72 / 48.19 ± 2.14@@65.29238442382955,51.92 ± 3.96 / 74.86 ± 2.45@@51.918126631508954,57.85 ± 1.07 / 49.34 ± 1.65@@57.84923055947062,65.32 ± 0.28 / 16.44 ± 0.33@@65.3152976417914,48.80 ± 3.80 / 61.52 ± 2.83@@48.80482346609152,57.77 ± 2.01 / 68.12 ± 1.47@@57.76873843420574,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300
<a href='https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B'>deepseek-ai/DeepSeek-R1-Distill-Llama-70B (few-shot)</a>,🤔,1.81@@1.81,70553706496.0,128256.0,131072.0,✓,✗,77.23 ± 0.75 / 75.01 ± 0.97@@77.23024135685866,56.72 ± 2.09 / 41.69 ± 2.36@@56.72190301416952,44.07 ± 6.11 / 69.59 ± 5.03@@44.070697242719405,63.67 ± 0.62 / 53.86 ± 1.07@@63.66514788293053,65.76 ± 0.10 / 14.67 ± 0.22@@65.75900195777649,61.08 ± 2.47 / 68.80 ± 2.27@@61.07506737531902,55.83 ± 2.44 / 65.92 ± 1.98@@55.832772471262885,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite-001'>gemini/gemini-2.0-flash-lite-001 (zero-shot, val)</a>",📝,1.81@@1.81,,256128.0,1048576.0,✓,✗,76.88 ± 2.88 / 75.38 ± 2.27@@76.87722320286333,47.53 ± 2.34 / 28.58 ± 1.34@@47.52907722558562,51.15 ± 4.05 / 75.04 ± 2.09@@51.14883733033946,57.12 ± 1.36 / 42.00 ± 1.34@@57.12025537116309,65.46 ± 0.11 / 15.33 ± 0.15@@65.46413093339652,66.59 ± 2.50 / 74.80 ± 1.87@@66.58736470357066,63.47 ± 2.70 / 72.42 ± 2.11@@63.46874083853605,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/01-ai/Yi-1.5-34B'>01-ai/Yi-1.5-34B (few-shot)</a>,🧠,1.85@@1.85,34388917248.0,64000.0,4096.0,✓,✗,79.83 ± 1.08 / 78.92 ± 0.97@@79.83353218431904,59.39 ± 1.85 / 46.21 ± 3.77@@59.38689690829262,50.99 ± 3.28 / 73.71 ± 3.36@@50.9851389821295,64.53 ± 2.09 / 56.49 ± 5.75@@64.52621000641193,64.68 ± 0.24 / 18.76 ± 0.43@@64.67570511696977,45.39 ± 0.92 / 59.04 ± 0.69@@45.39179264515145,49.91 ± 1.33 / 62.20 ± 0.99@@49.9098986579829,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://huggingface.co/google/gemma-2-9b-it'>google/gemma-2-9b-it (few-shot)</a>,📝,1.87@@1.87,9241705984.0,256000.0,8192.0,✓,✗,76.53 ± 1.13 / 73.39 ± 2.12@@76.52536329795058,39.59 ± 1.82 / 27.98 ± 1.79@@39.59490746396355,56.56 ± 1.94 / 77.71 ± 1.19@@56.55965829455742,64.55 ± 0.63 / 54.27 ± 0.78@@64.55127883655761,65.69 ± 0.08 / 16.89 ± 0.13@@65.68670520180603,52.42 ± 1.02 / 64.09 ± 0.77@@52.4226044514927,61.58 ± 1.10 / 71.10 ± 0.83@@61.58407114684654,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
"<a href='https://platform.openai.com/docs/models/gpt-4o-mini'>gpt-4o-mini-2024-07-18 (zero-shot, val)</a>",📝,1.88@@1.88,,200019.0,8191.0,✓,✗,73.55 ± 2.73 / 71.66 ± 2.30@@73.54810922345692,52.47 ± 2.22 / 29.74 ± 0.97@@52.472350058693685,52.27 ± 2.34 / 71.55 ± 1.30@@52.26783730491077,61.75 ± 1.16 / 48.95 ± 1.41@@61.7503531503301,65.59 ± 0.17 / 15.30 ± 0.25@@65.58669910766184,54.30 ± 3.14 / 65.47 ± 2.42@@54.29679602192812,54.13 ± 2.66 / 64.77 ± 2.09@@54.13486011459456,14.0.1@@140001,14.0.1@@140001,14.0.1@@140001,14.0.1@@140001,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
<a href='https://huggingface.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (few-shot)</a>,📝,1.89@@1.89,11168796672.0,32128.0,32768.0,✓,✓,79.68 ± 0.91 / 80.31 ± 0.84@@79.6763053719171,61.57 ± 1.06 / 40.63 ± 2.97@@61.5714450738238,37.47 ± 2.41 / 65.13 ± 3.04@@37.47343747863506,65.57 ± 0.41 / 54.72 ± 0.37@@65.56897573172526,65.54 ± 0.10 / 16.64 ± 0.09@@65.54218099117861,41.04 ± 0.76 / 55.75 ± 0.58@@41.04432527515319,57.42 ± 0.86 / 67.87 ± 0.68@@57.42249778782445,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/AI-Sweden-Models/Llama-3-8B-instruct'>AI-Sweden-Models/Llama-3-8B-instruct (few-shot)</a>,📝,1.90@@1.90,8030261248.0,128256.0,8192.0,✓,✗,80.10 ± 0.54 / 80.57 ± 0.45@@80.10066779758446,84.77 ± 1.36 / 72.07 ± 2.30@@84.77494986202507,29.17 ± 3.15 / 49.46 ± 2.79@@29.17267885888654,63.19 ± 0.58 / 54.68 ± 0.66@@63.18898179993253,66.01 ± 0.15 / 18.52 ± 0.19@@66.0066019979422,32.11 ± 1.11 / 46.99 ± 1.14@@32.10682098696621,47.49 ± 3.45 / 57.06 ± 3.45@@47.48752083650166,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-002'>gemini/gemini-1.5-flash-002 (zero-shot, val)</a>",📝,1.90@@1.90,,256128.0,1048576.0,✓,✗,76.64 ± 3.20 / 72.21 ± 2.81@@76.63602323192157,51.83 ± 1.74 / 38.32 ± 1.27@@51.83454397926911,42.47 ± 4.06 / 71.18 ± 2.05@@42.47047676392725,58.46 ± 1.36 / 46.24 ± 1.62@@58.456880216248955,64.94 ± 0.17 / 14.78 ± 0.20@@64.94386302540079,62.58 ± 3.21 / 71.76 ± 2.50@@62.58023594056582,54.41 ± 1.14 / 64.96 ± 0.87@@54.41386156071728,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (zero-shot)</a>,📝,1.94@@1.94,27432406640.0,262144.0,,✓,✗,74.92 ± 0.59 / 69.25 ± 0.32@@74.92421623494249,44.47 ± 1.22 / 25.65 ± 0.88@@44.474804043829806,45.02 ± 1.09 / 69.05 ± 0.67@@45.02265777831873,61.44 ± 0.37 / 47.65 ± 0.48@@61.436535839010176,64.29 ± 0.07 / 15.02 ± 0.07@@64.29066917597083,61.88 ± 0.73 / 71.29 ± 0.55@@61.88461052414033,58.97 ± 0.69 / 68.29 ± 0.47@@58.97040817263094,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://huggingface.co/timpal0l/sol'>timpal0l/sol (few-shot)</a>,📝,1.94@@1.94,10731540480.0,32002.0,4096.0,✗,✗,77.31 ± 1.01 / 70.55 ± 2.26@@77.30778250681006,57.51 ± 2.30 / 37.74 ± 3.15@@57.50830465044229,25.06 ± 5.02 / 49.04 ± 4.68@@25.058928426559735,67.43 ± 1.02 / 60.16 ± 1.77@@67.4254720121356,65.22 ± 0.19 / 18.86 ± 0.30@@65.21985952829709,39.52 ± 0.58 / 54.47 ± 0.38@@39.524720691043875,70.93 ± 1.29 / 78.03 ± 1.01@@70.92537773195843,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
<a href='https://huggingface.co/CohereForAI/aya-expanse-32b'>CohereForAI/aya-expanse-32b (few-shot)</a>,📝,1.97@@1.97,32296476672.0,256000.0,8192.0,✗,✗,78.75 ± 0.91 / 77.20 ± 0.92@@78.74743922444458,54.67 ± 2.85 / 37.52 ± 3.39@@54.6730325710882,29.36 ± 1.54 / 63.82 ± 0.95@@29.362310248205574,65.96 ± 0.52 / 55.43 ± 0.99@@65.95778668882345,65.47 ± 0.07 / 17.27 ± 0.19@@65.46696087054443,49.96 ± 1.13 / 62.18 ± 0.86@@49.96295414841885,56.91 ± 1.05 / 67.02 ± 0.88@@56.9071168516733,15.4.1@@150401,15.4.1@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401
<a href='https://huggingface.co/google/gemma-2-9b'>google/gemma-2-9b (few-shot)</a>,🧠,1.97@@1.97,9241705984.0,256000.0,8192.0,✓,✗,80.82 ± 0.41 / 77.72 ± 1.42@@80.82042965298527,45.17 ± 3.22 / 23.48 ± 1.90@@45.17461109408871,49.51 ± 2.65 / 70.66 ± 2.27@@49.51261917760223,65.69 ± 0.88 / 60.02 ± 0.96@@65.68824532801628,65.41 ± 0.31 / 19.33 ± 0.45@@65.41328333754791,51.29 ± 0.51 / 63.30 ± 0.44@@51.29485245659272,41.34 ± 3.24 / 53.85 ± 2.72@@41.344928252656864,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct (few-shot)</a>,📝,1.97@@1.97,32234279936.0,100352.0,4096.0,✗,✗,78.94 ± 0.81 / 79.16 ± 0.66@@78.93684434013961,51.30 ± 1.97 / 21.91 ± 1.07@@51.304334658082276,34.77 ± 2.02 / 62.30 ± 2.25@@34.77375920716194,63.12 ± 0.96 / 53.10 ± 2.45@@63.121566365119634,65.51 ± 0.08 / 16.05 ± 0.10@@65.51045412197709,49.79 ± 0.76 / 62.21 ± 0.58@@49.78823911465138,58.22 ± 1.18 / 68.30 ± 0.88@@58.2185051064502,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/google/gemma-2-27b'>google/gemma-2-27b (few-shot)</a>,🧠,1.97@@1.97,27227128320.0,256000.0,8192.0,✓,✗,79.58 ± 2.92 / 80.50 ± 2.08@@79.57525946110519,33.78 ± 1.61 / 32.60 ± 2.76@@33.78091461501484,57.77 ± 2.10 / 77.57 ± 1.51@@57.765996058144275,68.18 ± 0.86 / 61.78 ± 2.03@@68.18069667505777,65.66 ± 0.24 / 19.92 ± 0.36@@65.6589989659551,55.33 ± 0.70 / 66.22 ± 0.55@@55.33065193603457,39.50 ± 3.23 / 50.81 ± 3.05@@39.49575941480881,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/microsoft/phi-4'>microsoft/phi-4 (few-shot)</a>,📝,1.98@@1.98,14659507200.0,100352.0,16384.0,✓,✗,79.22 ± 0.95 / 79.10 ± 0.83@@79.21774965567042,62.64 ± 2.82 / 45.94 ± 2.80@@62.640284210688854,53.65 ± 2.40 / 75.93 ± 1.73@@53.652407664630445,27.32 ± 0.61 / 0.00 ± 0.00@@27.315488570749075,65.56 ± 0.06 / 16.01 ± 0.08@@65.55578156665433,58.03 ± 1.65 / 67.96 ± 1.40@@58.0312227703086,60.84 ± 0.75 / 70.07 ± 0.58@@60.84075473901558,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B (few-shot)</a>,📝,1.98@@1.98,8030261248.0,128256.0,131072.0,✓,✗,79.07 ± 0.75 / 78.31 ± 0.86@@79.07290777024689,51.33 ± 1.32 / 29.41 ± 1.57@@51.32538649579052,39.86 ± 1.91 / 62.37 ± 1.48@@39.85717662421603,63.92 ± 0.40 / 56.19 ± 0.65@@63.919232856004,65.95 ± 0.08 / 17.46 ± 0.21@@65.94534383679274,46.81 ± 0.77 / 59.79 ± 0.60@@46.80984030867411,54.93 ± 0.75 / 65.99 ± 0.55@@54.92718204317914,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/152334H/miqu-1-70b-sf'>152334H/miqu-1-70b-sf (few-shot)</a>,📝,1.99@@1.99,68976648192.0,32000.0,32764.0,✓,✗,79.32 ± 0.87 / 78.87 ± 0.81@@79.31891664300701,42.60 ± 1.50 / 24.82 ± 1.71@@42.60002627539464,50.17 ± 1.04 / 74.39 ± 0.82@@50.16926308205603,56.72 ± 1.62 / 43.72 ± 2.35@@56.715725371832924,66.09 ± 0.31 / 16.12 ± 1.23@@66.09346328303218,53.03 ± 0.88 / 64.59 ± 0.66@@53.03400886974976,51.04 ± 3.44 / 61.92 ± 2.97@@51.03551074289589,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/meta-llama/Llama-2-70b-hf'>meta-llama/Llama-2-70b-hf (few-shot)</a>,🧠,2.00@@2.00,68976653312.0,32000.0,4096.0,✓,✗,80.95 ± 0.96 / 78.17 ± 1.87@@80.95148727288442,57.90 ± 1.69 / 48.27 ± 2.35@@57.899335412797434,40.57 ± 9.01 / 62.72 ± 7.96@@40.57364015288144,68.04 ± 0.82 / 62.51 ± 1.07@@68.04037751469652,65.63 ± 0.22 / 20.05 ± 0.35@@65.63427886474528,43.39 ± 0.88 / 57.52 ± 0.61@@43.39437090950235,34.89 ± 2.91 / 47.84 ± 2.92@@34.89461823897505,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
